Position,Location,Registration Date,Scrape date
OFFICE MANAGER,E-mail (eagpbtuvp@ethiopianairlines.com),"August 11, 2025, up to August 15, 2025",2025-08-11
Part Time Agents (Arabic & French Speaker),"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","August 12, 2025, to August 18, 2025",2025-08-12
GYM INSTRUCTOR,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","August 12, 2025, to August 18, 2025",2025-08-12
Part Time Agents (Arabic & French Speaker),"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","From August 12, 2025, to August 22, 2025",2025-08-18
Junior Assembler,Via E-mail: EsayasTam@Ethiopianskytechnologies.com,"August 19, 2025, to August 25, 2025",2025-08-19
GYM INSTRUCTOR,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","August 12, 2025, to August 22, 2025",2025-08-19
Assistant Catering Attendant,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","August 27, 2025, to September 02, 2025",2025-08-27
TRAINEE COOK,"Ethiopian Airlines HQ, Ethiopian Airport Building (Recruitment Office)","September 01, 2025, to September 05, 2025",2025-08-29
TRAINEE COOK,"Ethiopian Airlines HQ, Ethiopian Airport Building (Recruitment Office)","September 01, 2025, to September 08, 2025",2025-09-02
JR. DATA ENTRY & ADMINISTRATIVE CLERK,"Ethiopian Airlines HQ, Ethiopian Airport Building (Recruitment Office)","September 08, 2025, to September 16, 2025",2025-09-05
Jr. Accountant,"Ethiopian Airlines HQ, Ethiopian Airport Building (Recruitment Office)","September 12, 2025, to September 19, 2025",2025-09-10
QMS (QUALITY MANAGEMENT SYSTEM ) & SMS (SAFETY MANAGEMENT SYSTEM) OFFICER,Ethiopian Skylight Hotel Human Resources Office,"before September 18, 2025",2025-09-13
Spa Therapist,Ethiopian Skylight Hotel Human Resources Office,"before September 22, 2025.",2025-09-17
Junior Industrial Nurse,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","September 18, 2025, to September 24, 2025",2025-09-17
Industrial Nurse,"Ethiopian Airlines Head Quarter, Ethiopian Airport Building (Recruitment & Placement Office)","September 22, 2025, to September 26, 2025",2025-09-19
Waiter,Ethiopian Skylight Hotel Human Resources Office,"on or before September 26, 2025",2025-09-22
Fire & Rescue Officer I,Different Places,"September 23, 2025, to September 30, 2025",2025-09-22
Jr. Accountant,"Ethiopian Airlines HQ, Ethiopian Airport Building (Recruitment Office)","September 12, 2025, to September 30, 2025",2025-09-23
ADJUNCT PROFESSOR OF AIRCRAFT STRUCTURES,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AIRCRAFT STABILITY AND CONTROL,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AIRCRAFT PROPULSION,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AIRCRAFT MAINTENANCE PRACTICES,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AIRCRAFT ELECTRICAL SYSTEMS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AIRCRAFT COMMUNICATION & NAVIGATION SYSTEMS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF AERODYNAMICS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF ACCOUNTING.,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF UNMANNED AIRCRAFT SYSTEMS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF PRINCIPLES OF RESOURCE SEQUENCING AND SCHEDULING,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF PISTON ENGINES AND PROPELLERS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF MANAGERIAL ECONOMICS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF MANAGERIAL FINANCE,Email:eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF MECHANISMS OF MACHINERY,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF MANAGEMENT INFORMATION SYSTEMS (MIS) FOR AVIATION,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT FOR AVIATION,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF HUMAN RESOURCE MANAGEMENT (HRM) IN THE AVIATION INDUSTRY.,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF ECONOMETRICS FOR AVIATION,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF ENTREPRENEURSHIP IN AVIATION,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
ADJUNCT PROFESSOR OF GAS TURBINE ENGINES & SYSTEMS,Email: eauhr@ethiopianairlines.com,"September 25, 2025, up to October 01, 2025",2025-09-25
Assistant Industrial Mechanic,"Nekemte Airport, Nekemte","September 29, 2025, to October 03, 2025",2025-09-26
Driver,Ethiopian Skylight Hotel Human Resources Office,"On or before October 04, 2025",2025-09-30
